counter,variant,n_samples,min_pct,p50_pct,p90_pct,p99_pct,max_pct,avg_pct
Compute Occupancy,tf32,77847,0.000,0.019,0.020,0.039,6.883,0.025
F16 Utilization,tf32,77847,0.000,0.000,0.000,4.739,25.720,0.157
F32 Utilization,tf32,77847,0.000,0.009,0.009,4.059,24.174,0.111
Fragment Interp Limiter,tf32,77847,0.000,0.000,0.000,3.969,26.155,0.139
Fragment Interp Utilization,tf32,77847,0.000,0.000,0.000,2.056,18.659,0.085
Fragment Occupancy,tf32,77847,0.000,0.000,0.000,45.365,100.000,1.009
GPU Read Bandwidth,tf32,77847,0.000,0.021,0.021,8.433,38.008,0.270
GPU Write Bandwidth,tf32,77847,0.000,0.049,0.049,5.111,66.686,0.212
LLC Limiter,tf32,77847,0.000,0.100,0.101,9.965,48.569,0.378
LLC Utilization,tf32,77847,0.000,0.100,0.101,9.309,33.951,0.339
MMU Limiter,tf32,77847,0.000,0.034,0.035,7.558,35.817,0.248
MMU Utilization,tf32,77847,0.000,0.034,0.035,7.043,32.984,0.238
Partial Renders,tf32,77847,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,tf32,77847,0.000,0.000,0.000,1.906,10.567,0.059
TG/IB Load Utilization,tf32,77847,0.000,0.000,0.000,1.477,9.596,0.051
TG/IB Store Limiter,tf32,77847,0.000,0.000,0.000,1.906,10.567,0.059
TG/IB Store Utilization,tf32,77847,0.000,0.000,0.000,6.533,17.116,0.149
Texture Cache Limiter,tf32,77847,0.000,0.000,0.000,9.192,82.370,0.283
Texture Filtering Limiter,tf32,77847,0.000,0.000,0.000,13.771,50.028,0.359
Texture Sample Limiter,tf32,77847,0.000,0.000,0.000,15.741,99.526,0.470
Texture Sample Utilization,tf32,77847,0.000,0.000,0.000,13.724,50.024,0.355
Texture Write Limiter,tf32,77847,0.000,0.006,0.006,25.279,100.000,0.619
Texture Write Utilization,tf32,77847,0.000,0.006,0.006,23.042,100.000,0.596
Top Performance Limiter,tf32,77844,0.000,0.100,0.101,36.632,100.000,1.045
Total Occupancy,tf32,67801,0.000,0.019,0.021,51.534,100.062,1.188
Vertex Occupancy,tf32,77847,0.000,0.000,0.000,0.046,0.403,0.001
ALU Limiter,uint8,78820,0.000,0.007,0.009,19.990,92.950,0.640
ALU Utilization,uint8,78820,0.000,0.007,0.008,18.122,81.856,0.568
Buffer Load Utilization,uint8,78820,0.000,0.003,0.003,0.128,1.382,0.007
Buffer Read Limiter,uint8,78820,0.000,0.003,0.003,0.128,1.382,0.007
Buffer Store Utilization,uint8,78820,0.000,0.018,0.018,0.018,0.415,0.015
Buffer Write Limiter,uint8,78820,0.000,0.018,0.018,0.018,0.415,0.015
Compute Occupancy,uint8,78820,0.000,0.017,0.024,0.170,5.626,0.024
F16 Utilization,uint8,78820,0.000,0.000,0.000,4.892,25.862,0.160
F32 Utilization,uint8,78820,0.000,0.000,0.000,3.909,23.729,0.102
Fragment Interp Limiter,uint8,78820,0.000,0.000,0.000,3.972,25.922,0.142
Fragment Interp Utilization,uint8,78820,0.000,0.000,0.000,2.076,18.762,0.087
Fragment Occupancy,uint8,78820,0.000,0.000,0.000,48.124,100.000,1.042
GPU Read Bandwidth,uint8,78820,0.000,0.020,0.020,8.846,38.322,0.281
GPU Write Bandwidth,uint8,78820,0.000,0.049,0.049,4.973,64.404,0.209
LLC Limiter,uint8,78820,0.000,0.098,0.098,10.503,52.854,0.389
LLC Utilization,uint8,78820,0.000,0.098,0.098,9.409,36.115,0.337
MMU Limiter,uint8,78820,0.000,0.034,0.034,7.850,43.041,0.259
MMU Utilization,uint8,78820,0.000,0.034,0.034,7.379,35.062,0.242
Partial Renders,uint8,78820,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,uint8,78820,0.000,0.000,0.000,1.867,10.431,0.060
TG/IB Load Utilization,uint8,78820,0.000,0.000,0.000,1.477,9.907,0.051
TG/IB Store Limiter,uint8,78820,0.000,0.000,0.000,1.867,10.431,0.060
TG/IB Store Utilization,uint8,78820,0.000,0.000,0.000,6.353,17.647,0.146
Texture Cache Limiter,uint8,78820,0.000,0.000,0.000,9.996,96.425,0.331
Texture Filtering Limiter,uint8,78820,0.000,0.000,0.000,14.255,50.030,0.364
Texture Sample Limiter,uint8,78820,0.000,0.000,0.000,17.611,99.084,0.516
Texture Sample Utilization,uint8,78820,0.000,0.000,0.000,14.095,50.024,0.360
Texture Write Limiter,uint8,78820,0.000,0.006,0.006,25.611,100.000,0.611
Texture Write Utilization,uint8,78820,0.000,0.006,0.006,21.769,100.000,0.578
Top Performance Limiter,uint8,78817,0.000,0.098,0.098,39.723,100.000,1.075
Total Occupancy,uint8,66857,0.000,0.017,0.025,55.013,177.419,1.257
Vertex Occupancy,uint8,78820,0.000,0.000,0.000,0.027,0.484,0.001
