depth,start,count,visits,useful
2,825,0,180000,55612
3,825,0,180000,55612
4,825,0,566,201
5,825,0,436,156
6,825,0,108,41
7,825,0,41,18
8,825,0,21,8
9,825,2,3,1
9,827,2,19,7
8,829,0,39,10
9,829,2,15,10
9,831,2,39,0
7,833,0,68,23
8,833,0,6,2
9,833,2,1,0
9,835,2,6,2
8,837,0,56,21
9,837,2,34,21
9,839,0,48,0
10,839,1,0,0
10,840,2,34,0
6,842,0,436,115
7,842,0,292,79
8,842,0,120,63
9,842,2,29,14
9,844,2,101,49
8,846,0,172,16
9,846,2,30,6
9,848,2,95,10
7,850,0,181,36
8,850,0,63,2
9,850,2,24,1
9,852,2,41,1
8,854,0,112,34
9,854,2,5,0
9,856,0,104,34
10,856,1,30,19
10,857,2,78,15
5,859,0,182,45
6,859,0,100,9
7,859,0,16,0
8,859,0,1,0
9,859,2,0,0
9,861,2,1,0
8,863,0,16,0
9,863,2,1,0
9,865,2,15,0
7,867,0,99,9
8,867,0,46,4
9,867,2,19,4
9,869,2,34,0
8,871,0,57,5
9,871,2,5,2
9,873,0,35,3
10,873,1,1,1
10,874,2,19,2
6,876,0,101,36
7,876,0,21,10
8,876,0,6,0
9,876,2,6,0
9,878,2,0,0
8,880,0,15,10
9,880,2,7,7
9,882,2,14,3
7,884,0,80,26
8,884,0,21,3
9,884,2,8,0
9,886,2,13,3
8,888,0,69,23
9,888,2,16,3
9,890,0,63,20
10,890,1,25,17
10,891,2,43,3
4,893,0,180000,55411
5,893,0,180000,55288
6,893,0,5251,1675
7,893,0,3152,1214
8,893,0,541,206
9,893,2,217,101
9,895,2,324,105
8,897,0,3152,1008
9,897,2,1506,532
9,899,2,1633,476
7,901,0,2793,461
8,901,0,1240,255
9,901,2,120,2
9,903,2,1064,253
8,905,0,1315,206
9,905,2,166,81
9,907,0,726,125
10,907,1,152,94
10,908,2,531,31
6,910,0,180000,53613
7,910,0,180000,53613
8,910,0,3777,1133
9,910,2,1402,506
9,912,2,3777,627
8,914,0,180000,52480
9,914,2,180000,52480
9,916,2,0,0
7,918,0,386,0
8,918,0,19,0
9,918,2,19,0
9,920,2,0,0
8,922,0,367,0
9,922,2,0,0
9,924,0,0,0
10,924,1,0,0
10,925,2,0,0
5,927,0,260,123
6,927,0,256,123
7,927,0,256,123
8,927,0,256,108
9,927,2,78,18
9,929,2,192,90
8,931,0,71,15
9,931,2,71,15
9,933,2,0,0
7,935,0,20,0
