binary,source,mnemonic,count
sm_apple_cpu_latency_Ofast,objdump,str,5
sm_apple_cpu_latency_Ofast,objdump,sub,4
sm_apple_cpu_latency_Ofast,objdump,subs,3
sm_apple_cpu_latency_Ofast,objdump,tbz,1
sm_apple_cpu_latency_Ofast,objdump,ucvtf,7
sm_apple_cpu_latency_Ofast,objdump,udiv,6
sm_apple_cpu_latency_Ofast,otool,add,64
sm_apple_cpu_latency_Ofast,otool,adrp,29
sm_apple_cpu_latency_Ofast,otool,b,8
sm_apple_cpu_latency_Ofast,otool,b.eq,3
sm_apple_cpu_latency_Ofast,otool,b.ge,1
sm_apple_cpu_latency_Ofast,otool,b.le,3
sm_apple_cpu_latency_Ofast,otool,b.lt,3
sm_apple_cpu_latency_Ofast,otool,b.ne,6
sm_apple_cpu_latency_Ofast,otool,bl,25
sm_apple_cpu_latency_Ofast,otool,cbnz,16
sm_apple_cpu_latency_Ofast,otool,cbz,9
sm_apple_cpu_latency_Ofast,otool,ccmp,1
sm_apple_cpu_latency_Ofast,otool,cmp,10
sm_apple_cpu_latency_Ofast,otool,fadd,32
sm_apple_cpu_latency_Ofast,otool,fcmp,3
sm_apple_cpu_latency_Ofast,otool,fdiv,6
sm_apple_cpu_latency_Ofast,otool,fmadd,32
sm_apple_cpu_latency_Ofast,otool,fmov,8
sm_apple_cpu_latency_Ofast,otool,fmul,1
sm_apple_cpu_latency_Ofast,otool,ldp,15
sm_apple_cpu_latency_Ofast,otool,ldr,14
sm_apple_cpu_latency_Ofast,otool,mov,37
sm_apple_cpu_latency_Ofast,otool,movi,6
sm_apple_cpu_latency_Ofast,otool,movk,3
sm_apple_cpu_latency_Ofast,otool,mul,6
sm_apple_cpu_latency_Ofast,otool,ret,1
sm_apple_cpu_latency_Ofast,otool,stp,22
sm_apple_cpu_latency_Ofast,otool,str,5
sm_apple_cpu_latency_Ofast,otool,sub,4
sm_apple_cpu_latency_Ofast,otool,subs,3
sm_apple_cpu_latency_Ofast,otool,tbz,1
sm_apple_cpu_latency_Ofast,otool,ucvtf,7
sm_apple_cpu_latency_Ofast,otool,udiv,6
