mnemonic,operands,width_bits,element_type,latency_cycles,throughput_cycles,category,extension,source_file,mode_64bit,encoding
VROUNDPS,xmm,128,fp32,1.5094,0.2507,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VROUNDPS,ymm,256,fp32,1.4929,0.2490,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VROUNDSD,"xmm,xmm",128,fp64,1.5002,0.2502,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VROUNDSS,"xmm,xmm",128,fp32,1.5100,0.2517,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VRSQRTPS,xmm,128,fp32,2.0098,0.2529,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VRSQRTPS,ymm,256,fp32,2.0975,0.2491,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VRSQRTSS,"xmm,xmm",128,fp32,2.0140,0.2520,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSQRTPD,xmm,128,fp64,10.4015,4.1685,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSQRTPD,ymm,256,fp64,12.3944,4.2420,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSQRTPS,xmm,128,fp32,8.2158,2.5234,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSQRTPS,ymm,256,fp32,7.5673,2.6211,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSQRTSD,"xmm,xmm",128,fp64,10.4598,4.1985,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSQRTSS,"xmm,xmm",128,fp32,7.6223,2.5735,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSUBPD,"xmm,xmm",128,fp64,1.4858,0.2476,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSUBPD,"ymm,ymm",256,fp64,1.4856,0.2478,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSUBPS,"xmm,xmm",128,fp32,1.5081,0.2515,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSUBPS,"ymm,ymm",256,fp32,1.5200,0.2536,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSUBSD,"xmm,xmm",128,fp64,1.4925,0.2491,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSUBSS,"xmm,xmm",128,fp32,1.5156,0.2527,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VZEROUPPER,,256,NA,-1.0000,0.5034,misc,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMOVAPD,"xmm,xmm",128,fp64,0.1244,0.0932,move,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMOVAPD,"ymm,ymm",256,fp64,0.2481,0.1241,move,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMOVAPS,"xmm,xmm",128,fp32,0.1244,0.1240,move,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMOVAPS,"ymm,ymm",256,fp32,0.1242,0.0930,move,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMOVMSKPD,"r32,xmm",128,fp64,-1.0000,0.5747,move,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMOVMSKPS,"r32,xmm",128,fp32,-1.0000,0.5745,move,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VBLENDPD,"xmm,xmm,imm",128,fp64,0.5096,0.2487,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VBLENDPD,"ymm,ymm,imm",256,fp64,0.4967,0.2489,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VBLENDPS,"xmm,xmm,imm",128,fp32,0.4960,0.1243,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VBLENDPS,"ymm,ymm,imm",256,fp32,0.4963,0.1242,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VBLENDVPD,"xmm,xmm,xmm",128,fp64,0.4971,0.2487,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VBLENDVPD,"ymm,ymm,ymm",256,fp64,0.4977,0.2486,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VBLENDVPS,"xmm,xmm,xmm",128,fp32,0.4973,0.2484,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VBLENDVPS,"ymm,ymm,ymm",256,fp32,0.4975,0.2491,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VBROADCASTSD,ymm,256,fp64,0.9910,0.2480,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VBROADCASTSS,xmm,128,fp32,0.4958,0.2107,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VBROADCASTSS,ymm,256,fp32,1.1683,0.2482,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VEXTRACTF128,"ymm,xmm,imm",256,fp32,1.9825,0.2479,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VINSERTF128,"ymm,xmm,imm",256,fp32,0.4960,0.2478,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VPERM2F128,"ymm,ymm,imm",256,fp32,1.4863,0.2479,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VPERMILPD,"xmm,imm",128,fp64,0.5004,0.2120,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VPERMILPD,"ymm,imm",256,fp64,0.4956,0.2107,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VPERMILPS,"xmm,imm",128,fp32,0.4954,0.2106,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VPERMILPS,"ymm,imm",256,fp32,0.4956,0.2104,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSHUFPD,"xmm,xmm",128,fp64,0.4952,0.2105,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSHUFPD,"ymm,ymm",256,fp64,0.4954,0.2105,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VSHUFPS,"xmm,xmm",128,fp32,0.4954,0.2104,shuffle,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
